ID,state,muni,county,zoning,zoning_name,likelyres,count_zoning
439,MD,North Beach,Calvert,R-1,Residential- single family,1,98
461,MD,Centreville,Queen Anne's,R-1,Residential(low density),1,98
469,MD,Charlestown,Cecil,R-1,"Residential, Low-Density",1,98
486,MD,Calvert,Calvert,R-1,Residential; No zoning data but significant in parcel data,1,98
524,MD,Millington,Kent,R-1,Rural Conservation Residential District,1,98
559,MD,Federalsburg,Caroline,R-1,Single Family Residential,1,98
563,MD,Caroline,Caroline,R-1,Single Family Residential District,1,98
565,MD,Chestertown,Kent,R-1,single family residential district ,1,98
574,MD,Ridgley,Caroline,R-1,Single-Family Residential District,1,98
1171,NJ,Newark,Essex County,R-1,Detached Single-Family Residential,1,98
1381,NJ,West Milford Township,Passaic County,R-1,Higher Density Residential,1,98
1723,NJ,Rahway,Union County,R-1,Low density single family residential zone,1,98
1733,NJ,Milford Borough,Hunterdon County,R-1,Low-Density Residential - 1,1,98
1788,NJ,Independence Township,Warren County,R-1,Medium Density Residential,1,98
2312,NJ,Bogota,Bergen County,R-1,One Family Residential,1,98
2316,NJ,Cliffside Park,Bergen County,R-1,One family residential zone,1,98
2331,NJ,Long Branch city,Monmouth,R-1,One-Family Residential,1,98
2886,NJ,Pennsville,Salem County,R-1,Residential ,1,98
2894,NJ,Hampton Borough,Hunterdon County,R-1,Residential - 1A,1,98
2912,NJ,Randolph Township,Morris County,R-1,Residential - Single Family,1,98
2918,NJ,Liberty Township,Warren County,R-1,Residential - two acre,1,98
2929,NJ,Mount Olive Township,Morris County,R-1,Residential 1DU/AC,1,98
3084,NJ,Sparta Township,Sussex County,R-1,Residential Zone - 40250 SF,1,98
3088,NJ,Mountain Lakes Borough,Morris County,R-1,Residential Zone - Single Family,1,98
3095,NJ,Sparta,Sussex County,R-1,"Residential Zone-40,250 sqft lot",1,98
3098,NJ,Chester Borough,Morris County,R-1,"Residential, one acre",1,98
3112,NJ,Pohatcong Township,Warren County,R-1,Residential/Rural,1,98
3188,NJ,Califon Borough,Hunterdon County,R-1,Rural Residential,1,98
3226,NJ,Vernon Township,Sussex County,R-1,Rural/Residential,1,98
3282,NJ,Atlantic City,Atlantic County,R-1,Single Family Detached Residential District,1,98
3324,NJ,Franklin Borough,Sussex County,R-1,Single Family Residential (Three-Acre Density),1,98
3332,NJ,Lakehurst,Ocean County,R-1,SINGLE FAMILY RESIDENTIAL ZONE,1,98
3402,NJ,Glassboro,Gloucester County,R-1,Single-Family Residential,1,98
3635,NJ,Plainfield,Union County,R-1,Very low density residential,1,98
1170,NJ,White Township,Warren County,R-1,Detached Single-Family Residence District,1,98
3295,NJ,Roselle Park,Union County,R-1,single family residence,1,98
3298,NJ,Hopatcong Borough,Sussex County,R-1,"Single Family Residence, 15000 sqft lot",1,98
3338,NJ,East Brunswick,Middlesex County,R-1,Single Family Rural Residence District,1,98
3384,NJ,Rockaway Borough,Morris County,R-1,Single-Family Residence,1,98
3388,NJ,Bound Brook,Somerset County,R-1,Single-Family Residence District,1,98
3391,NJ,Hopatcong Borough,Sussex County,R-1,Single-Family Residence Zone,1,98
558,MD,Rising Sun,Cecil,R-1,Single Family District,1,98
1165,NJ,Mendham Township,Morris County,R-1,Detached Single Dwelling,1,98
3275,NJ,Dover Town,Morris County,R-1,Single Family,1,98
3344,NJ,Washington Township,Morris County,R-1,Single-Family,1,98
2303,NJ,Cranford,Union County,R-1,one family detached residence district,1,98
123,MD,Baltimore City,Baltimore,R-3,Detached Residential Zoning District,1,98
158,MD,Bel Air,Harford,R-3,High Density Residential,1,98
162,MD,Rock Hall,Kent,R-3,High Density Residential District,1,98
165,MD,Hurlock,Dorchester,R-3,High-density Residential District,1,98
189,MD,Frederick,Frederick,R-3,Low Density Residential,1,98
195,MD,Chestertown,Kent,R-3,low density residential district,1,98
304,MD,Millington,Kent,R-3,Old Town Residential District,1,98
369,MD,Trappe,Talbot,R-3,Residential,1,98
383,MD,Centreville,Queen Anne's,R-3,Residential (high density),1,98
402,MD,Oxford,Talbot,R-3,Residential District,1,98
466,MD,Charlestown,Cecil,R-3,"Residential, High-Density",1,98
645,MD,Elkton,Cecil,R-3,Urban Residential District,1,98
1373,NJ,Glassboro,Gloucester County,R-3,High-Density Residential  (Detached Single Family),1,98
1374,NJ,Glassboro,Gloucester County,R-3,High-Density Residential  (Fraternity and Sorority Houses),1,98
1375,NJ,Glassboro,Gloucester County,R-3,High-Density Residential  (Two-Family),1,98
1587,NJ,Far Hills Borough,Somerset County,R-3,Intermediate ensity Residential,1,98
1726,NJ,Plainfield,Union County,R-3,low/moderate density residential,1,98
1778,NJ,Bloomsbury Borough,Hunterdon County,R-3,Medium Density Residential,1,98
1793,NJ,Bayonne city,Hudson County,R-3,Medium Density Residential District,1,98
2333,NJ,Long Branch city,Monmouth,R-3,One-Family Residential,1,98
2888,NJ,Pennsville,Salem County,R-3,Residential ,1,98
2903,NJ,Pohatcong Township,Warren County,R-3,Residential - Medium Density,1,98
2911,NJ,Randolph Township,Morris County,R-3,Residential - Single Family,1,98
2915,NJ,Liberty Township,Warren County,R-3,Residential - three-acre,1,98
2932,NJ,Howell,Monmouth County,R-3,Residential 3,1,98
2933,NJ,Mount Olive Township,Morris County,R-3,Residential 3 DU/AC,1,98
3045,NJ,Hopatcong Borough,Sussex County,R-3,Residential Planned Development,1,98
3085,NJ,Sparta Township,Sussex County,R-3,Residential Zone - 8000 SF,1,98
3096,NJ,Sparta,Sussex County,R-3,"Residential Zone-8,000 sqft lot",1,98
3100,NJ,Chester Borough,Morris County,R-3,"Residential, three acre",1,98
3190,NJ,Lebanon Township,Hunterdon County,R-3,Rural Residential,1,98
3279,NJ,Atlantic City,Atlantic County,R-3,Single Family Attached Residential District,1,98
3306,NJ,Township of North Brunswick,Middlesex County,R-3,single family residential,1,98
3317,NJ,Franklin Borough,Sussex County,R-3,Single Family Residential (15000 sqft),1,98
3340,NJ,Hardyston Township,Sussex County,R-3,"Single Family, Lakeside Residential",1,98
3408,NJ,New Brunswick,Middlesex County,R-3,Single-family residential,1,98
3446,NJ,Andover,Sussex County,R-3,Single-Family Residential ,1,98
3611,NJ,Lakehurst,Ocean County,R-3,TWO FAMILY RESIDENTIAL ZONE,1,98
3684,NJ,Guttenberg,Hudson County,R-3,Waterfront Residential,1,98
1169,NJ,Pompton Lakes Borough,Passaic County,R-3,Detached Single-Family Residence,1,98
3296,NJ,East Brunswick,Middlesex County,R-3,Single Family Residence District,1,98
3387,NJ,Rockaway Borough,Morris County,R-3,Single-Family Residence,1,98
3390,NJ,Bound Brook,Somerset County,R-3,Single-Family Residence District,1,98
3393,NJ,Hopatcong Borough,Sussex County,R-3,Single-Family Residence Zone,1,98
2054,NJ,Cliffside Park,Bergen County,R-3,"multi-family, townhouse zone",1,98
1162,NJ,Mendham Township,Morris County,R-3,Detached Single Dwelling,1,98
3353,NJ,Middlesex County,South Brunswick township,R-3,Single-family,1,98
1233,NJ,Roselle Park,Union County,R-3,four family residence,1,98
2290,NJ,Clinton Town,Hunterdon County,R-3,One & Two Family Residence,1,98
2305,NJ,Cranford,Union County,R-3,one family detached residence district,1,98
250,MD,Rising Sun,Cecil,R-3,Multi family district,1,98
260,MD,Worcester,Worcester,R-3,Multi-family Residential District,1,98
265,MD,Federalsburg,Caroline,R-3,Multiple Family Residential,1,98
425,MD,Crisfield,Somerset,R-3,Residential Multifamily,1,98
1724,NJ,Rahway,Union County,R-3,low rise multifamily residential zone,1,98
1943,NJ,Bogota,Bergen County,R-3,Multi Family Residential,1,98
1978,NJ,Jersey City,Hudson County,R-3,Multifamily Mid-Rise Housing,1,98
1980,NJ,Mansfield Township,Warren County,R-3,Multifamily Residence,1,98
2005,NJ,Kearny town,Hudson County,R-3,Multi-Family Residential,1,98
2007,NJ,Milford Borough,Hunterdon County,R-3,Multifamily Residential - 3,1,98
2008,NJ,Edgewater,Bergen County,R-3,multifamily residential district,1,98
2030,NJ,Elizabeth,Union County,R-3,multifamily residential zone,1,98
2664,NJ,Denville Township,Morris County,R-1,Residence,1,98
2716,NJ,Byram Township,Sussex County,R-1,Residence 10 Acres,1,98
2718,NJ,Hoboken,Hudson County,R-1,Residence Distict (Conservation),1,98
2723,NJ,Butler Borough,Morris County,R-1,Residence District,1,98
26,MD,Berlin,Worcester,R-3,Apartment District,1,98
853,NJ,Linden,Union County,R-3,apartment,1,98
1246,NJ,White Township,Warren County,R-3,Garden Apartment District,1,98
2667,NJ,Denville Township,Morris County,R-3,Residence,1,98
2713,NJ,Byram Township,Sussex County,R-3,Residence 1 Acre,1,98
2720,NJ,Butler Borough,Morris County,R-3,Residence District,1,98
2751,NJ,Hoboken,Hudson County,R-3,Residence District (Redevelopment),1,98
1243,NJ,Glassboro,Gloucester County,R-4,Garden Apartment and Townhouse District  (Garden Apartment),1,62
1244,NJ,Glassboro,Gloucester County,R-4,Garden Apartment and Townhouse District (Townhouse),1,62
116,MD,Baltimore City,Baltimore,R-4,Detached and Semi-Detached Residential Zoning District,1,62
149,MD,Worcester,Worcester,R-4,General Residential District ,1,62
205,MD,Frederick,Frederick,R-4,Medium Density Residential,1,62
412,MD,Berlin,Worcester,R-4,"Residential District (on the map, this area includes PUD)",1,62
418,MD,Crisfield,Somerset,R-4,Residential Manufactured Home,1,62
1357,NJ,High Bridge Borough,Hunterdon County,R-4,High Density Residential,1,62
1379,NJ,Woodbridge,Middlesex County,R-4,High-Density Single-Family Residential Zone,1,62
1791,NJ,Hardyston Township,Sussex County,R-4,Medium Density Residential District,1,62
1925,NJ,Plainfield,Union County,R-4,moderate density residential,1,62
2138,NJ,Bridgeton,Cumberland County,R-4,Neighborhood Residential,1,62
2334,NJ,Long Branch city,Monmouth,R-4,One-Family Residential,1,62
2378,NJ,North Bergen township,Hudson County,R-4,Paterson Plank Road Residential,1,62
2774,NJ,Vineland,Cumberland County,R-4,Residential,1,62
2893,NJ,Liberty Township,Warren County,R-4,Residential - 15000 sqft,1,62
2901,NJ,Pohatcong Township,Warren County,R-4,Residential - High Density,1,62
2934,NJ,Howell,Monmouth County,R-4,Residential 4,1,62
2935,NJ,Mount Olive Township,Morris County,R-4,Residential 4 DU/AC,1,62
2992,NJ,Metuchen borough,Middlesex County,R-4,Residential District,1,62
3108,NJ,Sparta Township,Sussex County,R-4,Residential/Professional,1,62
3110,NJ,Sparta,Sussex County,R-4,Residential/Professional Zone,1,62
3307,NJ,Township of North Brunswick,Middlesex County,R-4,single family residential,1,62
3320,NJ,Franklin Borough,Sussex County,R-4,Single Family Residential (6250 sqft),1,62
3409,NJ,New Brunswick,Middlesex County,R-4,Single-family residential,1,62
3527,NJ,Manalapan township,Monmouth,R-4,Suburban Residential - Single Family,1,62
3634,NJ,West Milford Township,Passaic County,R-4,Very Low Density Residential,1,62
3665,NJ,Middlesex County,South Brunswick township,R-4,Village residential,1,62
1168,NJ,Pompton Lakes Borough,Passaic County,R-4,Detached Single-Family Residence,1,62
2306,NJ,Cranford,Union County,R-4,one family detached residence district,1,62
266,MD,Chestertown,Kent,R-4,multiple family residential district,1,62
1369,NJ,Rahway,Union County,R-4,high rise multifamily family residential zone,1,62
1741,NJ,Newark,Essex County,R-4,Low-Rise Multifamily Residential,1,62
1945,NJ,Dover Town,Morris County,R-4,Multifamily,1,62
1969,NJ,Jersey City,Hudson County,R-4,Multifamily High-Rise Housing ,1,62
2009,NJ,Edgewater,Bergen County,R-4,multifamily residential district,1,62
2052,NJ,Cliffside Park,Bergen County,R-4,"multi-family, mid rise zone",1,62
2066,NJ,Rockaway Borough,Morris County,R-4,Multiple-Family Residence,1,62
3105,NJ,Bogota,Bergen County,R-4,Residential/Multi-family senior citizen,1,62
2900,NJ,Randolph Township,Morris County,R-4,Residential - Garden Apartments,1,62
1208,NJ,Elizabeth,Union County,R-4,elevator apartment zone,1,62
1239,NJ,Netcong Borough,Morris County,R-4,Garden Apartment,1,62
1245,NJ,Washington Borough,Warren County,R-4,Garden Apartment District,1,62
1313,NJ,East Brunswick,Middlesex County,R-4,General Residence District,1,62
2668,NJ,Denville Township,Morris County,R-4,Residence,1,62
2714,NJ,Byram Township,Sussex County,R-4,Residence 1/2 Acre,1,62
2721,NJ,Butler Borough,Morris County,R-4,Residence District,1,62
1821,NJ,Guttenberg,Hudson County,R-4,Mid-Rise Mixed-Use,1,62
1250,NJ,Rockaway Borough,Morris County,R-5,Garden Apartment/Townhouse Residence,1,50
130,MD,Chestertown,Kent,R-5,downtown residential district,1,50
206,MD,Frederick,Frederick,R-5,Medium Density Residential,1,50
374,MD,Salisbury,Wicomico,R-5,Residential,1,50
827,NJ,Chester Borough,Morris County,R-5,"Agricultural Rural Residential, five acre",1,50
1378,NJ,Woodbridge,Middlesex County,R-5,High-Density Single-Family Residential Zone,1,50
1387,NJ,Guttenberg,Hudson County,R-5,High-Rise Residential ,1,50
1734,NJ,Glassboro,Gloucester County,R-5,Low-Density Residential District (Detached Single Family),1,50
1735,NJ,Glassboro,Gloucester County,R-5,Low-Density Residential District (Two-Family),1,50
2318,NJ,Long Branch city,Monmouth,R-5,One- to Four-Family/Townhouse Residential,1,50
2897,NJ,Hampton Borough,Hunterdon County,R-5,Residential - 5A,1,50
2941,NJ,Howell,Monmouth County,R-5,Residential Age Restricted,1,50
2965,NJ,Millville,Cumberland County,R-5,Residential District,1,50
3271,NJ,Keansburg borough,Monmouth County,R-5,Singel Family Residential Zone District,1,50
3398,NJ,Mahwah Township,Bergen County,R-5,Single-Family Residential,1,50
3464,NJ,Brick,Ocean County,R-5,Single-Family Residential Zone,1,50
3528,NJ,Manalapan township,Monmouth,R-5,Suburban Residential - Single Family Affordable Housing,1,50
3663,NJ,Far Hills Borough,Somerset County,R-5,Village Residential,1,50
869,NJ,Pompton Lakes Borough,Passaic County,R-5,Attached Single-Family Residence,1,50
507,MD,Baltimore City,Baltimore,R-5,Rowhouse and Multi-Family Residential Zoning District,1,50
870,NJ,Hardyston Township,Sussex County,R-5,Attached Single-Family/Multifamily Residential District,1,50
556,MD,Laurel,Prince George's,R-5,Single Family Detached,1,50
1161,NJ,Mendham Township,Morris County,R-5,Detached Single Dwelling,1,50
2294,NJ,Cranford,Union County,R-5,one and two family residence district,1,50
1822,NJ,Newark,Essex County,R-5,Mid-Rise Multifamily Residential,1,50
2010,NJ,Edgewater,Bergen County,R-5,multifamily residential district,1,50
2050,NJ,Cliffside Park,Bergen County,R-5,"multi-family, high rise zone",1,50
2907,NJ,Randolph Township,Morris County,R-5,Residential - Multifamily,1,50
3030,NJ,Mount Olive Township,Morris County,R-5,Residential Multi-Family,1,50
1249,NJ,Township of North Brunswick,Middlesex County,R-5,garden apartment residential,1,50
2683,NJ,Morris Plains Borough,Morris County,R-5,Residence,1,50
2715,NJ,Byram Township,Sussex County,R-5,Residence 1/4 Acre,1,50
2719,NJ,East Brunswick,Middlesex County,R-5,Residence District,1,50
1725,NJ,Jersey City,Hudson County,R-5,"Low Rise Residential, Mixed Use Zone",1,50
3027,NJ,North Bergen township,Hudson County,R-5,Residential Mixed Use Overay Zone,1,50
1743,NJ,Franklin Borough,Sussex County,B-2,Main Street Mixed Use,1,37
1840,NJ,Keansburg borough,Monmouth County,B-2,Mixed Use Commercial and Residential Zone District,1,37
3265,NJ,Edgewater,Bergen County,B-2,shadyside mixed-use district,1,37
207,MD,Frederick,Frederick,R-6,Medium Density Residential,1,28
1364,NJ,Deptford township,Gloucester County,R-6,High Density Residential District,1,28
1377,NJ,Woodbridge,Middlesex County,R-6,High-Density Single-Family Residential Zone,1,28
1736,NJ,Glassboro,Gloucester County,R-6,Low-Density Residential District and Age-Restricted Housing  (Age Restricted),1,28
1737,NJ,Glassboro,Gloucester County,R-6,Low-Density Residential District and Age-Restricted Housing (Detached Single Family),1,28
1804,NJ,Plainfield,Union County,R-6,medium/high density residential,1,28
1924,NJ,Far Hills Borough,Somerset County,R-6,Moderate Density Residential,1,28
2359,NJ,Metuchen borough,Middlesex County,R-6,Overlay Residential District,1,28
2453,NJ,Township of North Brunswick,Middlesex County,R-6,planned residential development,1,28
2776,NJ,Vineland,Cumberland County,R-6,Residential,1,28
2937,NJ,Howell,Monmouth County,R-6,Residential 6,1,28
2947,NJ,Washington Borough,Warren County,R-6,Residential Attached Single Family District,1,28
3104,NJ,Mount Olive Township,Morris County,R-6,Residential/Age Restricted/ Inclusionary Residential,1,28
3468,NJ,Long Beach,Ocean County,R-6,Single-Family Residential Zone,1,28
3580,NJ,Cranford,Union County,R-6,townhouse residence district,1,28
508,MD,Baltimore City,Baltimore,R-6,Rowhouse and Multi-Family Residential Zoning District,1,28
3592,NJ,Long Branch city,Monmouth,R-6,Townhouse/Professional Office,1,28
1386,NJ,Newark,Essex County,R-6,High-Rise Multifamily Residential,1,28
1490,NJ,Fair Lawn,Bergen County,R-6,inclusionary multifamily residential  ,1,28
1947,NJ,Pompton Lakes Borough,Passaic County,R-6,Multifamily,1,28
2057,NJ,Bound Brook,Somerset County,R-6,Multiple Family Residence District,1,28
2685,NJ,Morris Plains Borough,Morris County,R-6,Residence,1,28
2726,NJ,Butler Borough,Morris County,R-6,Residence District,1,28
378,MD,Salisbury,Wicomico,R-10,Residential,1,27
1712,NJ,Far Hills Borough,Somerset County,R-10,Low Density Residential,1,27
1796,NJ,Deptford township,Gloucester County,R-10,Medium Density Residential District ,1,27
1815,NJ,Woodbridge,Middlesex County,R-10,Medium-Density Single-Family Residential Zone,1,27
2341,NJ,Bloomingdale Borough,Passaic County,R-10,"One-Family Residential, 1/4 Acre",1,27
2964,NJ,Millville,Cumberland County,R-10,Residential District,1,27
3199,NJ,Bedminster Township,Somerset County,R-10,Rural Residential,1,27
3223,NJ,Chester Borough,Morris County,R-10,"Rural Residential, ten acre",1,27
3301,NJ,Washington Borough,Warren County,R-10,Single Family Residential,1,27
3396,NJ,Mahwah Township,Bergen County,R-10,Single-Family Residential,1,27
3462,NJ,Brick,Ocean County,R-10,Single-Family Residential Zone,1,27
3285,NJ,Hanover Township,Morris County,R-10,Single Family Residence,1,27
512,MD,Baltimore City,Baltimore,R-10,Rowhouse and Multi-Family Residential Zoning District,1,27
1163,NJ,Mendham Township,Morris County,R-10,Detached Single Dwelling,1,27
1740,NJ,Wharton Borough,Morris County,R-10,Low-Moderate Density Single-Family,1,27
262,MD,Laurel,Prince George's,R-10,"multifamily, high density",1,27
1371,NJ,Jefferson Township,Morris County,R-10,High-Density Multifamily Residence,1,27
1354,NJ,Wanaque Borough,Passaic County,R-10,High Density Residence,1,27
427,MD,Montgomery,Montgomery,R-10,Residential Multi-Unit High Density,1,27
157,MD,Frederick,Frederick,R-20,High Density Residential,1,26
212,MD,Gaithersburg,Montgomery,R-20,Medium Density Residential,1,26
309,MD,Prince George's,Prince George's,R-20,One-Family Triple-Attached Residential,1,26
372,MD,Wicomico,Wicomico,R-20,Residential,1,26
481,MD,Howard,Howard,R-20,Residential: Single,1,26
489,MD,Calvert,Calvert,R-20,Residential; No zoning data but significant in parcel data,1,26
697,NJ,Township of Warren,Somerset County,R-20,1/2 acre residential,1,26
1794,NJ,Deptford township,Gloucester County,R-20,Medium Density Residential District ,1,26
2340,NJ,Bloomingdale Borough,Passaic County,R-20,"One-Family Residential, 1/2 Acre",1,26
2962,NJ,Millville,Cumberland County,R-20,Residential District,1,26
3075,NJ,Freehold Township,Monmouth County,R-20,Residential Zone,1,26
3302,NJ,Washington Borough,Warren County,R-20,Single Family Residential,1,26
3375,NJ,Rockaway Township,Morris County,R-20,Single-Family Detached Residential,1,26
3397,NJ,Mahwah Township,Bergen County,R-20,Single-Family Residential,1,26
3460,NJ,Brick,Ocean County,R-20,Single-Family Residential Zone,1,26
3526,NJ,Manalapan township,Monmouth,R-20,Suburban Residential - Single Family,1,26
567,MD,Laurel,Prince George's,R-20,"Single family semi detached, two family detached",1,26
3346,NJ,Washington Township,Morris County,R-20,Single-Family,1,26
2658,NJ,Boonton Township,Morris County,R-20,Residence,1,26
429,MD,Montgomery,Montgomery,R-20,Residential Multi-Unit Medium Density,1,26
2710,NJ,Washington,Gloucester County,C,Residence ,1,23
396,MD,Montgomery,Montgomery,R-40,Residential Detached,1,22
1727,NJ,Deptford township,Gloucester County,R-40,Low-Denisty Residential District,1,22
1739,NJ,Woodbridge,Middlesex County,R-40,Low-Density Single-Family Residential Zone,1,22
2339,NJ,Bloomingdale Borough,Passaic County,R-40,"One-Family Residential, 1 Acre",1,22
2816,NJ,Franklin Township,Somerset County,R-40,Residential,1,22
2961,NJ,Millville,Cumberland County,R-40,Residential District,1,22
3072,NJ,Freehold Township,Monmouth County,R-40,Residential Zone,1,22
3218,NJ,Township of Warren,Somerset County,R-40,rural residential district,1,22
3303,NJ,Washington Borough,Warren County,R-40,Single Family Residential,1,22
3326,NJ,Edgewater,Bergen County,R-40,single family residential district,1,22
3376,NJ,Rockaway Township,Morris County,R-40,Single-Family Detached Residential,1,22
3399,NJ,Mahwah Township,Bergen County,R-40,Single-Family Residential,1,22
3522,NJ,Manalapan township,Monmouth,R-40,Suburban Residential - Single Family,1,22
1738,NJ,Jefferson Township,Morris County,R-40,Low-Density Single-Family Residence,1,22
3290,NJ,Hanover Township,Morris County,R-40,Single Family Residence,1,22
1722,NJ,Wharton Borough,Morris County,R-40,Low Density Single Family,1,22
3349,NJ,Ringwood Borough,Passaic County,R-40,Single-Family,1,22
2953,NJ,Oakland Borough,Bergen County,RC,Residential Cluster,1,22
2960,NJ,Stanhope Borough,Sussex County,RC,Residential Conservation,1,22
3029,NJ,Union,Union County,RC,residential multifamily,1,22
1704,NJ,Wanaque Borough,Passaic County,R-40,Low Density Residence/Cluster Option,1,22
2659,NJ,Boonton Township,Morris County,R-40,Residence,1,22
532,MD,Cecil,Cecil,RR,Rural Residential,1,20
