idx,state,county,muni,unique_matches,unique_counts,all_counts,muncipalcode,source
43,Illinois,Cook County,WINNETKA,"['B-1', 'B-2', 'C-1', 'C-2', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5']",9,26,https://codelibrary.amlegal.com/codes/winnetka/latest/overview,codelibrary
45,Illinois,DuPage County,WINFIELD,"['CAR', 'OR']",2,17,https://codelibrary.amlegal.com/codes/winfieldil/latest/overview,codelibrary
46,Illinois,Jersey County,JERSEYVILLE,['NO'],1,1,https://codelibrary.amlegal.com/codes/jerseyvilleil/latest/overview,codelibrary
47,Illinois,Lake County,LAKE ZURICH,"['B-1', 'B-2', 'B-3', 'D1', 'D2', 'D3', 'DR', 'LP', 'O-1', 'O-2', 'O-3', 'OS', 'R-1/2', 'R-3', 'R-4', 'R-5', 'R-6']",17,24,https://codelibrary.amlegal.com/codes/lakezurichil/latest/overview,codelibrary
49,Illinois,Lake County,WINTHROP HARBOR,"['B-1', 'B-2', 'B-3', 'B-4', 'B-5', 'BB', 'DT', 'I-1', 'I-2', 'IN', 'OR', 'PR', 'PUD', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6']",19,162,https://codelibrary.amlegal.com/codes/winthropharbor/latest/overview,codelibrary
50,Illinois,Sangamon County,CHATHAM,"['B-1', 'B-2', 'CAR', 'I-1', 'I-2', 'IN', 'OR', 'P-1', 'PARK', 'PUD', 'R-1', 'R-1A', 'R-2', 'R-3', 'R-3A', 'R1A', 'RM-4', 'TV']",18,126,https://codelibrary.amlegal.com/codes/chatham/latest/overview,codelibrary
51,Illinois,Will County,LOCKPORT,"['A-1', 'BA', 'C-1', 'C-2', 'C-3', 'C-4', 'C1', 'C2', 'C3', 'CAR', 'CMU', 'D-1', 'E-R', 'FSC', 'IN', 'IV', 'M-1', 'M-2', 'O-1', 'O-2', 'OR', 'PARK', 'R-1', 'R-2', 'R-3', 'R-4', 'R-O', 'R1', 'R2', 'R3', 'R4', 'RV']",32,209,https://codelibrary.amlegal.com/codes/lockport/latest/overview,codelibrary
52,Illinois,Will County,MOKENA,"['A-1', 'C-1', 'C-1A', 'C-2', 'C-3', 'C-4', 'C1', 'C3', 'E-1', 'I-1', 'I-2', 'I-3', 'O-1', 'O-2', 'OR-1', 'P-1', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'TOD']",23,26,https://codelibrary.amlegal.com/codes/mokenail/latest/overview,codelibrary
66,Illinois,Will County,ROMEOVILLE,"['A-1', 'ABC', 'B-1', 'B-2', 'B-3', 'B-4', 'BR', 'E-R', 'FAR', 'IV', 'M-1', 'M-2', 'M-R', 'OR', 'P-1', 'PARK', 'PP', 'PUD', 'PVC', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-5A', 'R-6', 'R-7']",27,244,https://codelibrary.amlegal.com/codes/romeoville/latest/overview,codelibrary
70,Indiana,Lake County,DYER,"['B-1', 'B-2', 'B-3', 'PUD', 'R-1', 'R-2', 'R-3', 'R-4', 'RD']",9,26,https://codelibrary.amlegal.com/codes/dyer/latest/overview,codelibrary
86,Michigan,Kent County,EAST GRAND RAPIDS,"['C-1', 'IV', 'MFR', 'O-P', 'OR', 'PA', 'PP', 'PSC', 'PUD', 'R-1', 'R-2', 'R-3', 'SF']",13,230,https://codelibrary.amlegal.com/codes/eastgrandrapidsmi/latest/overview,codelibrary
94,Michigan,Wayne County,GARDEN CITY,"['C-1', 'C-2', 'C-3', 'CAR', 'CBD', 'IN', 'M-1', 'O-1', 'OR', 'PA', 'PARK', 'PD', 'PM', 'PR', 'R-1', 'R-2', 'R-3', 'TV']",18,64,https://codelibrary.amlegal.com/codes/gardencity/latest/overview,codelibrary
98,Minnesota,Dakota County,FARMINGTON,"['A-1', 'B-1', 'B-2', 'B-3', 'P/OS', 'PUD', 'R-1', 'R-2', 'R-3', 'R-4']",10,10,https://codelibrary.amlegal.com/codes/farmingtonmn/latest/overview,codelibrary
102,Missouri,St. Charles County,COTTLEVILLE,[],0,0,https://ecode360.com/CO3275,ecode360
103,Missouri,St. Charles County,O'FALLON,[],0,0,https://ecode360.com/OF3382,ecode360
104,Missouri,St. Charles County,ST. PETERS,[],0,0,https://ecode360.com/ST3438,ecode360
106,New Jersey,Atlantic County,NORTHFIELD,[],0,0,https://ecode360.com/NO0505,ecode360
110,Ohio,Cuyahoga County,BROOK PARK,"['A-1', 'A-2', 'A-5', 'A-6', 'BA', 'FAR', 'H-1', 'IN', 'IV', 'LDR', 'OR']",11,79,https://codelibrary.amlegal.com/codes/brookpark/latest/overview,codelibrary
111,Ohio,Cuyahoga County,HIGHLAND HEIGHTS,"['G-B', 'O-B']",2,2,https://codelibrary.amlegal.com/codes/highlandhts/latest/overview,codelibrary
113,Ohio,Hamilton County,SPRINGFIELD,"['CO-1', 'M-1', 'M-2', 'PD', 'RR-1']",5,10,https://codelibrary.amlegal.com/codes/springfield/latest/overview,codelibrary
114,Ohio,Lake County,MENTOR,"['B-1', 'B-2', 'B-3', 'C-1', 'C-2', 'M-1', 'M-2', 'PD', 'PUD', 'R-1', 'R-10', 'R-2', 'R-3', 'R-4', 'R-5']",15,15,https://codelibrary.amlegal.com/codes/mentor/latest/overview,codelibrary
115,Ohio,Lake County,WICKLIFFE,"['OB', 'OS']",2,2,https://codelibrary.amlegal.com/codes/wickliffe/latest/overview,codelibrary
116,Ohio,Lorain County,AMHERST,"['C-1', 'C-2', 'C-3', 'I-1', 'M-1', 'R-1', 'R-2', 'R-3']",8,15,https://codelibrary.amlegal.com/codes/amherst/latest/overview,codelibrary
117,Ohio,Lorain County,NORTH RIDGEVILLE,"['B-1', 'B-2', 'B-3', 'B-4', 'B-5', 'I-1', 'I-2', 'I-3', 'PCD', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5']",14,28,https://codelibrary.amlegal.com/codes/northridgeville/latest/overview,codelibrary
118,Ohio,Butler County,FAIRFIELD,"['A-1', 'B-1', 'C-1', 'C-2', 'C-2A', 'C-2B', 'C-3', 'C-3A', 'C-4', 'D-1', 'M-1', 'M-1A', 'M-2', 'R-1', 'R-2', 'R-3', 'R-4', 'SE', 'ST']",19,34,https://codelibrary.amlegal.com/codes/fairfield/latest/overview,codelibrary
119,Ohio,Cuyahoga County,SOUTH EUCLID,"['C-1', 'C-2', 'C-3', 'M-1', 'M-2', 'R-40', 'R-50', 'R-60', 'R-75', 'R-O']",10,10,https://codelibrary.amlegal.com/codes/southeuclid/latest/overview,codelibrary
121,Ohio,Hamilton County,MONTGOMERY,"['OC', 'R-7']",2,2,https://codelibrary.amlegal.com/codes/montgomery/latest/overview,codelibrary
122,Ohio,Hamilton County,WYOMING,"['C-1', 'C-2', 'C-3']",3,6,https://codelibrary.amlegal.com/codes/wyoming/latest/overview,codelibrary
123,Ohio,Lorain County,AVON,"['C-1', 'C-2', 'C-3', 'C-4', 'M-1', 'M-2', 'O-1', 'O-2', 'R-1', 'R-2', 'R-3']",11,11,https://codelibrary.amlegal.com/codes/avonoh/latest/overview,codelibrary
124,Ohio,Mahoning County,STRUTHERS,['C-1'],1,2,https://codelibrary.amlegal.com/codes/struthers/latest/overview,codelibrary
126,Ohio,Cuyahoga County,SEVEN HILLS,[],0,0,https://codelibrary.amlegal.com/codes/sevenhills/latest/overview,codelibrary
127,Ohio,Summit County,MACEDONIA,"['B-1', 'B-2', 'B-3', 'B-4', 'R-P']",5,5,https://codelibrary.amlegal.com/codes/macedonia/latest/overview,codelibrary
135,Pennsylvania,Westmoreland County,MONESSEN,[],0,0,https://ecode360.com/MO1700,ecode360
136,Rhode Island,Bristol County,BARRINGTON,[],0,0,https://ecode360.com/BA1328,ecode360
137,South Carolina,Charleston County,JAMES ISLAND,"['CA', 'CAR', 'CC', 'CS', 'DB', 'IN', 'OR', 'PARK', 'PD', 'RV']",10,151,https://codelibrary.amlegal.com/codes/jamesisland/latest/overview,codelibrary
142,Tennessee,Shelby County,COLLIERVILLE,"['AH', 'CA', 'CB', 'CC', 'CM', 'CO', 'FAR', 'GC', 'GI', 'H-1', 'IL', 'IN', 'MU', 'NC', 'OR', 'PARK', 'PC', 'PD', 'R-1', 'R-1A', 'R-2', 'R-25', 'R-2A', 'R-3', 'R-3A', 'R-4', 'R-L', 'R-T', 'RL', 'RV', 'SCC', 'SR', 'TV', 'US']",34,340,https://codelibrary.amlegal.com/codes/collierville/latest/overview,codelibrary
175,Utah,Davis County,FARMINGTON,[],0,0,https://codelibrary.amlegal.com/codes/farmingtonut/latest/overview,codelibrary
177,Utah,Davis County,SOUTH WEBER,"['B-C', 'C-H', 'C-R', 'L-I', 'PUD', 'R-7', 'R-L', 'R-LM', 'R-M', 'R-P', 'T-1']",11,11,https://codelibrary.amlegal.com/codes/southweberut/latest/overview,codelibrary
179,Utah,Salt Lake County,HERRIMAN,"['A-1', 'C-1', 'C-2', 'EC', 'IN', 'M-1', 'MU', 'MU-2', 'OP', 'PD', 'R-1-10', 'R-1-15', 'R-M', 'RC', 'VMU']",15,15,https://codelibrary.amlegal.com/codes/herrimanut/latest/overview,codelibrary
181,Utah,Utah County,CEDAR HILLS,"['B3', 'IN', 'PR']",3,4,https://codelibrary.amlegal.com/codes/cedarhillsut/latest/overview,codelibrary
184,Utah,Washington County,SANTA CLARA,"['HD', 'OS', 'R-1-10', 'RA']",4,5,https://codelibrary.amlegal.com/codes/santaclaraut/latest/overview,codelibrary
